ano,mes,tipomovimentacao,mov,n
2024,9,60,deslig,17
2024,9,90,deslig,55
2024,9,97,adm,9116
2024,9,98,deslig,3
2024,10,31,deslig,3611
2024,10,32,deslig,63
2024,10,33,deslig,2
2024,10,35,adm,3
2024,10,40,deslig,4295
2024,10,43,deslig,199
2024,10,50,deslig,1
2024,10,60,deslig,17
2024,10,90,deslig,123
2024,10,97,adm,9241
2024,10,98,deslig,6
2024,11,31,deslig,2834
2024,11,32,deslig,45
2024,11,35,adm,7
2024,11,40,deslig,3791
2024,11,43,deslig,210
2024,11,50,deslig,3
2024,11,60,deslig,31
2024,11,90,deslig,88
2024,11,97,adm,7859
2024,11,98,deslig,4
2024,12,31,deslig,3123
2024,12,32,deslig,53
2024,12,35,adm,3
2024,12,40,deslig,2841
2024,12,43,deslig,190
2024,12,50,deslig,1
2024,12,60,deslig,24
2024,12,90,deslig,86
2024,12,97,adm,6016
2024,12,98,deslig,1
2025,1,31,deslig,4246
2025,1,32,deslig,50
2025,1,40,deslig,3712
2025,1,43,deslig,197
2025,1,50,deslig,2
2025,1,60,deslig,22
2025,1,90,deslig,89
2025,1,97,adm,8304
2025,2,31,deslig,4224
2025,2,32,deslig,66
2025,2,35,adm,2
2025,2,40,deslig,3643
2025,2,43,deslig,209
2025,2,50,deslig,2
2025,2,60,deslig,24
2025,2,90,deslig,124
2025,2,97,adm,8769
2025,2,98,deslig,1
2025,3,31,deslig,3632
2025,3,32,deslig,55
2025,3,35,adm,2
2025,3,40,deslig,3956
2025,3,43,deslig,184
2025,3,50,deslig,2
2025,3,60,deslig,18
2025,3,90,deslig,105
2025,3,97,adm,7885
2025,4,31,deslig,4146
2025,4,32,deslig,47
2025,4,35,adm,2
2025,4,40,deslig,4201
2025,4,43,deslig,213
2025,4,60,deslig,18
2025,4,90,deslig,110
2025,4,97,adm,9240
2025,4,98,deslig,1
2025,5,31,deslig,3823
2025,5,32,deslig,47
2025,5,33,deslig,1
2025,5,35,adm,2
2025,5,40,deslig,4507
2025,5,43,deslig,236
2025,5,50,deslig,2
2025,5,60,deslig,26
2025,5,90,deslig,143
2025,5,97,adm,9257
2025,5,98,deslig,1
2025,6,31,deslig,3733
2025,6,32,deslig,52
2025,6,35,adm,5
2025,6,40,deslig,4174
2025,6,43,deslig,205
2025,6,50,deslig,1
2025,6,60,deslig,20
2025,6,90,deslig,95
2025,6,97,adm,9142
2025,6,98,deslig,1
2025,7,31,deslig,3710
2025,7,32,deslig,72
2025,7,33,deslig,3
2025,7,35,adm,3
2025,7,40,deslig,4401
2025,7,43,deslig,224
2025,7,60,deslig,16
2025,7,90,deslig,111
2025,7,97,adm,9511
2025,8,31,deslig,3895
2025,8,32,deslig,65
2025,8,35,adm,8
2025,8,40,deslig,4844
2025,8,43,deslig,242
2025,8,50,deslig,3
2025,8,60,deslig,24
2025,8,90,deslig,94
2025,8,97,adm,9702
2025,9,31,deslig,4332
2025,9,32,deslig,78
2025,9,33,deslig,1
2025,9,35,adm,5
2025,9,40,deslig,4578
2025,9,43,deslig,177
2025,9,50,deslig,2
2025,9,60,deslig,13
2025,9,90,deslig,122
2025,9,97,adm,9609
2025,9,98,deslig,2
2025,10,31,deslig,4034
2025,10,32,deslig,71
2025,10,33,deslig,1
2025,10,35,adm,3
2025,10,40,deslig,4981
2025,10,43,deslig,236
2025,10,50,deslig,3
2025,10,60,deslig,28
2025,10,90,deslig,108
2025,10,97,adm,9933
2025,10,98,deslig,2
2025,11,31,deslig,2743
2025,11,32,deslig,70
2025,11,33,deslig,1
2025,11,35,adm,3
2025,11,40,deslig,4033
2025,11,43,deslig,233
2025,11,50,deslig,3
2025,11,60,deslig,21
2025,11,90,deslig,72
2025,11,97,adm,8917
2025,11,98,deslig,4
2025,12,31,deslig,3196
2025,12,32,deslig,61
2025,12,33,deslig,1
2025,12,35,adm,4
2025,12,40,deslig,3211
2025,12,43,deslig,202
2025,12,50,deslig,4
2025,12,60,deslig,33
2025,12,90,deslig,86
2025,12,97,adm,6388
2025,12,98,deslig,3
2026,1,31,deslig,4126
2026,1,32,deslig,77
2026,1,33,deslig,1
2026,1,35,adm,3
2026,1,40,deslig,3751
2026,1,43,deslig,239
2026,1,50,deslig,3
2026,1,60,deslig,20
2026,1,90,deslig,103
2026,1,97,adm,8599
2026,1,98,deslig,2
2026,2,31,deslig,4478
2026,2,32,deslig,44
2026,2,35,adm,2
2026,2,40,deslig,3609
2026,2,43,deslig,241
2026,2,50,deslig,4
2026,2,60,deslig,16
2026,2,90,deslig,123
2026,2,97,adm,7756
2026,3,31,deslig,4629
2026,3,32,deslig,78
2026,3,35,adm,4
2026,3,40,deslig,4080
2026,3,43,deslig,215
2026,3,60,deslig,21
2026,3,90,deslig,122
2026,3,97,adm,8837
2026,4,31,deslig,4495
2026,4,32,deslig,56
2026,4,33,deslig,1
2026,4,35,adm,5
2026,4,40,deslig,4123
2026,4,43,deslig,269
2026,4,50,deslig,2
2026,4,60,deslig,19
2026,4,90,deslig,146
2026,4,97,adm,8716
2026,4,98,deslig,1
