ano,mes,cbo4,mov,n,sal_medio
2023,1,1422,adm,368,10148.28
2023,1,1422,deslig,379,10909.61
2023,1,1423,adm,6233,6735.74
2023,1,1423,deslig,5708,7840.54
2023,1,1424,adm,177,11403.58
2023,1,1424,deslig,180,11948.19
2023,1,1425,adm,651,14331.56
2023,1,1425,deslig,645,14726.92
2023,1,1426,adm,170,15916.31
2023,1,1426,deslig,206,16937.25
2023,1,1427,adm,202,11404.0
2023,1,1427,deslig,180,10569.63
2023,1,2011,adm,2,10979.7
2023,1,2011,deslig,3,4347.31
2023,1,2012,adm,5,3379.57
2023,1,2012,deslig,10,5651.75
2023,1,2021,adm,51,7120.95
2023,1,2021,deslig,43,8830.61
2023,1,2030,adm,18,10158.46
2023,1,2030,deslig,9,9455.34
2023,1,2031,adm,70,8442.09
2023,1,2031,deslig,55,9264.12
2023,1,2032,adm,114,8548.04
2023,1,2032,deslig,63,10306.42
2023,1,2033,adm,48,8156.19
2023,1,2033,deslig,42,9792.7
2023,1,2034,adm,20,6043.3
2023,1,2034,deslig,13,9878.1
2023,1,2035,adm,25,6781.32
2023,1,2035,deslig,14,11993.41
2023,1,2041,adm,1,5200.0
2023,1,2111,adm,68,7589.03
2023,1,2111,deslig,48,7925.77
2023,1,2112,adm,65,7220.57
2023,1,2112,deslig,45,8580.18
2023,1,2122,adm,307,13927.71
2023,1,2122,deslig,291,15587.66
2023,1,2123,adm,535,8002.87
2023,1,2123,deslig,443,8550.7
2023,1,2124,adm,5976,6171.45
2023,1,2124,deslig,5108,6894.77
2023,1,2131,adm,2,2884.9
2023,1,2131,deslig,3,5990.47
2023,1,2132,adm,44,6218.09
2023,1,2132,deslig,40,5376.05
2023,1,2133,adm,1,9000.0
2023,1,2133,deslig,1,12065.19
2023,1,2134,adm,7,9348.14
2023,1,2134,deslig,5,7129.01
2023,1,2140,adm,30,5402.23
2023,1,2140,deslig,15,8383.25
2023,1,2141,adm,107,5485.83
2023,1,2141,deslig,80,6405.43
2023,1,2142,adm,353,8091.92
2023,1,2142,deslig,309,9459.56
2023,1,2143,adm,183,9635.36
2023,1,2143,deslig,136,18662.9
2023,1,2144,adm,212,10707.48
2023,1,2144,deslig,152,12483.26
2023,1,2145,adm,29,7429.96
2023,1,2145,deslig,29,9116.15
2023,1,2146,adm,17,50360.97
2023,1,2146,deslig,14,9655.68
2023,1,2147,adm,2,5324.66
2023,1,2147,deslig,2,5151.66
2023,1,2148,adm,1,3700.0
2023,1,2148,deslig,2,6402.2
2023,1,2149,adm,330,9717.07
2023,1,2149,deslig,229,18360.34
2023,1,2151,adm,13,5572.45
2023,1,2151,deslig,15,2837.93
2023,1,2152,adm,1,3255.0
2023,1,2152,deslig,1,27225.99
2023,1,2153,adm,47,5450.78
2023,1,2153,deslig,40,8199.25
2023,1,2211,adm,35,4004.7
2023,1,2211,deslig,34,4461.46
2023,1,2212,adm,185,3166.32
2023,1,2212,deslig,186,3429.14
2023,1,2221,adm,130,10560.0
2023,1,2221,deslig,70,11295.43
2023,1,2222,adm,5,5684.19
2023,1,2222,deslig,5,14938.83
2023,1,2232,adm,53,6689.41
2023,1,2232,deslig,47,7480.58
2023,1,2233,adm,64,5853.97
2023,1,2233,deslig,59,5295.44
2023,1,2234,adm,990,4461.22
2023,1,2234,deslig,1026,4523.76
2023,1,2235,adm,1701,4750.54
2023,1,2235,deslig,1577,5093.81
2023,1,2236,adm,62,3474.85
2023,1,2236,deslig,39,3551.83
2023,1,2237,adm,361,4835.74
2023,1,2237,deslig,319,3846.63
2023,1,2238,adm,59,4371.28
2023,1,2238,deslig,54,4826.61
2023,1,2239,adm,24,3996.43
2023,1,2239,deslig,20,3691.31
2023,1,2241,adm,474,3717.02
2023,1,2241,deslig,344,3032.09
2023,1,2251,adm,188,18543.64
2023,1,2251,deslig,147,17679.72
2023,1,2252,adm,8,23619.01
2023,1,2252,deslig,15,14372.46
2023,1,2253,adm,1,3750.0
2023,1,2253,deslig,4,22971.6
2023,1,2263,deslig,1,3291.61
2023,1,2311,adm,712,3160.45
2023,1,2311,deslig,1132,3416.68
2023,1,2312,adm,682,54019.56
2023,1,2312,deslig,461,19931.06
2023,1,2313,adm,357,5863.35
2023,1,2313,deslig,237,14994.64
2023,1,2321,adm,315,5619.54
2023,1,2321,deslig,208,3375.41
2023,1,2331,adm,21,3547.59
2023,1,2331,deslig,11,5227.22
2023,1,2332,adm,300,41615.99
2023,1,2332,deslig,225,4967.72
2023,1,2341,adm,1,1800.0
2023,1,2341,deslig,8,6531.98
2023,1,2342,adm,1,3256.0
2023,1,2342,deslig,6,2826.63
2023,1,2343,adm,5,0.0
2023,1,2343,deslig,3,8234.27
2023,1,2344,adm,33,2996.08
2023,1,2344,deslig,37,52492.71
2023,1,2345,adm,91,6408.54
2023,1,2345,deslig,132,7064.21
2023,1,2346,adm,221,4349.88
2023,1,2346,deslig,157,3667.65
2023,1,2347,adm,8,3242.24
2023,1,2347,deslig,7,7883.35
2023,1,2348,adm,20,2382.42
2023,1,2348,deslig,14,13571.21
2023,1,2349,adm,9,970.16
2023,1,2349,deslig,2,314.24
2023,1,2392,adm,29,3378.9
2023,1,2392,deslig,40,3711.91
2023,1,2394,adm,1369,4090.81
2023,1,2394,deslig,865,4062.34
2023,1,2410,adm,746,6528.72
2023,1,2410,deslig,625,8267.37
2023,1,2412,adm,1,4624.81
2023,1,2412,deslig,4,10999.06
2023,1,2413,adm,77,2059.08
2023,1,2413,deslig,2,7367.36
2023,1,2424,adm,1,4500.0
2023,1,2424,deslig,1,1786.4
2023,1,2429,adm,10,5976.31
2023,1,2429,deslig,3,5030.67
2023,1,2511,adm,2,3217.0
2023,1,2511,deslig,5,3179.39
2023,1,2512,adm,532,5354.33
2023,1,2512,deslig,487,5529.75
2023,1,2513,adm,6,2219.33
2023,1,2513,deslig,4,3922.36
2023,1,2515,adm,277,3736.5
2023,1,2515,deslig,166,3949.94
2023,1,2516,adm,138,3374.45
2023,1,2516,deslig,104,3451.03
2023,1,2521,adm,2406,5083.8
2023,1,2521,deslig,2070,6367.93
2023,1,2522,adm,1435,5639.33
2023,1,2522,deslig,1351,6628.19
2023,1,2523,adm,542,7810.02
2023,1,2523,deslig,586,4100.12
2023,1,2524,adm,1642,4680.46
2023,1,2524,deslig,1488,4752.43
2023,1,2525,adm,1336,5560.62
2023,1,2525,deslig,1065,5538.01
2023,1,2526,adm,28,6450.43
2023,1,2526,deslig,16,8734.9
2023,1,2527,adm,406,4073.02
2023,1,2527,deslig,274,4053.49
2023,1,2531,adm,761,4204.88
2023,1,2531,deslig,724,5255.62
2023,1,2532,adm,1857,3433.99
2023,1,2532,deslig,1690,4179.52
2023,1,2533,adm,46,5050.21
2023,1,2533,deslig,50,10582.13
2023,1,2534,adm,225,2832.67
2023,1,2534,deslig,121,2895.98
2023,1,2541,adm,1,1760.0
2023,1,2543,adm,80,1457.64
2023,1,2543,deslig,56,1434.52
2023,1,2544,adm,33,4067.13
2023,1,2544,deslig,23,5341.95
2023,1,2545,adm,1,1877.81
2023,1,2545,deslig,2,2755.14
2023,1,2611,adm,164,3748.5
2023,1,2611,deslig,152,5927.95
2023,1,2612,adm,260,4414.74
2023,1,2612,deslig,218,5839.03
2023,1,2613,adm,21,2138.38
2023,1,2613,deslig,26,4521.03
2023,1,2614,adm,37,28185.41
2023,1,2614,deslig,35,4266.28
2023,1,2615,adm,26,4029.8
2023,1,2615,deslig,35,4315.57
2023,1,2616,adm,25,5187.58
2023,1,2616,deslig,20,4777.25
2023,1,2617,adm,16,4375.59
2023,1,2617,deslig,20,4426.44
2023,1,2618,adm,27,2174.39
2023,1,2618,deslig,29,2256.11
2023,1,2619,adm,1,1800.0
2023,1,2621,adm,51,3587.0
2023,1,2621,deslig,65,3447.1
2023,1,2622,adm,4,5750.12
2023,1,2622,deslig,6,9952.4
2023,1,2623,adm,27,6026.49
2023,1,2623,deslig,23,5766.38
2023,1,2624,adm,695,4133.34
2023,1,2624,deslig,565,5077.65
2023,1,2625,deslig,1,10408.2
2023,1,2626,adm,12,2159.93
2023,1,2626,deslig,1,5405.45
2023,1,2627,adm,11,3585.48
2023,1,2627,deslig,3,2868.92
2023,1,2628,adm,6,6562.63
2023,1,2628,deslig,5,3970.46
2023,1,2629,adm,7,4335.98
2023,1,2629,deslig,12,4263.77
2023,1,2631,adm,19,5551.13
2023,1,2631,deslig,10,4397.53
2023,1,2711,adm,233,2628.59
2023,1,2711,deslig,227,2727.94
2023,1,3001,adm,87,3483.16
2023,1,3001,deslig,59,3385.08
2023,1,3003,adm,140,3121.36
2023,1,3003,deslig,105,3256.37
2023,1,3011,adm,233,2679.05
2023,1,3011,deslig,217,2821.5
2023,1,3012,adm,1,3380.0
2023,1,3012,deslig,4,3785.33
2023,1,3030,deslig,1,3143.8
2023,1,3111,adm,217,3189.08
2023,1,3111,deslig,187,3205.84
2023,1,3112,adm,2,2500.0
2023,1,3112,deslig,1,2401.0
2023,1,3113,adm,10,4240.46
2023,1,3113,deslig,3,4073.22
2023,1,3114,adm,86,2200.12
2023,1,3114,deslig,46,2987.9
2023,1,3115,adm,94,3208.6
2023,1,3115,deslig,62,3720.6
2023,1,3116,adm,6,2523.28
2023,1,3116,deslig,4,3052.5
2023,1,3117,adm,77,2421.7
2023,1,3117,deslig,78,2359.34
2023,1,3121,adm,764,3629.86
2023,1,3121,deslig,553,3533.91
2023,1,3122,adm,142,2377.63
2023,1,3122,deslig,97,2586.68
2023,1,3123,adm,226,3902.43
2023,1,3123,deslig,166,2490.85
2023,1,3131,adm,657,3070.75
2023,1,3131,deslig,560,3246.58
2023,1,3132,adm,1246,2343.41
2023,1,3132,deslig,1130,2639.6
2023,1,3133,adm,557,2370.53
2023,1,3133,deslig,464,2581.7
2023,1,3134,adm,150,3646.17
2023,1,3134,deslig,133,3226.27
2023,1,3135,adm,66,1852.43
2023,1,3135,deslig,81,2059.73
2023,1,3141,adm,506,2584.82
2023,1,3141,deslig,412,3043.01
2023,1,3142,adm,40,4274.16
2023,1,3142,deslig,39,3358.7
2023,1,3143,adm,93,4219.73
2023,1,3143,deslig,86,4474.27
2023,1,3144,adm,264,2840.9
2023,1,3144,deslig,212,3195.34
2023,1,3146,adm,22,4349.27
2023,1,3146,deslig,23,5682.08
2023,1,3147,adm,10,2285.89
2023,1,3147,deslig,9,3564.82
2023,1,3148,adm,50,5416.23
2023,1,3148,deslig,11,5109.13
2023,1,3161,adm,4,3179.25
2023,1,3161,deslig,6,3295.08
2023,1,3163,adm,12,3809.44
2023,1,3163,deslig,4,4898.83
2023,1,3171,adm,1202,5785.65
2023,1,3171,deslig,1024,6602.53
2023,1,3172,adm,1090,2258.41
2023,1,3172,deslig,839,2511.0
2023,1,3180,adm,86,2661.36
2023,1,3180,deslig,86,3392.97
2023,1,3181,adm,50,2916.15
2023,1,3181,deslig,38,3019.01
2023,1,3182,adm,43,3092.93
2023,1,3182,deslig,24,3339.18
2023,1,3183,adm,5,2104.81
2023,1,3183,deslig,7,1954.26
2023,1,3184,adm,69,2462.17
2023,1,3184,deslig,77,2791.42
2023,1,3185,adm,310,3196.95
2023,1,3185,deslig,186,3351.46
2023,1,3186,adm,224,4279.61
2023,1,3186,deslig,141,11149.97
2023,1,3187,adm,63,3552.22
2023,1,3187,deslig,32,3850.01
2023,1,3188,adm,159,2446.19
2023,1,3188,deslig,141,2553.95
2023,1,3191,adm,4,2077.93
2023,1,3191,deslig,3,2031.12
2023,1,3192,adm,10,2278.8
2023,1,3192,deslig,9,2170.54
2023,1,3201,adm,4,2697.94
2023,1,3201,deslig,1,1831.77
2023,1,3211,adm,172,3742.35
2023,1,3211,deslig,100,3924.35
2023,1,3212,adm,33,2324.76
2023,1,3212,deslig,29,2647.34
2023,1,3221,adm,359,2360.01
2023,1,3221,deslig,346,1818.95
2023,1,3222,adm,4727,2436.58
2023,1,3222,deslig,4529,2482.0
2023,1,3223,adm,32,2061.78
2023,1,3223,deslig,23,2091.64
2023,1,3224,adm,585,1692.96
2023,1,3224,deslig,600,1752.74
2023,1,3225,adm,7,2371.09
2023,1,3225,deslig,6,2444.69
2023,1,3226,adm,35,2315.29
2023,1,3226,deslig,35,2264.58
2023,1,3231,adm,25,1551.05
2023,1,3231,deslig,26,1512.41
2023,1,3241,adm,39,2302.33
2023,1,3241,deslig,34,2339.26
2023,1,3242,adm,230,2184.63
2023,1,3242,deslig,248,2516.61
2023,1,3250,adm,27,1587.43
2023,1,3250,deslig,23,1773.99
2023,1,3251,adm,210,2302.58
2023,1,3251,deslig,206,2319.88
2023,1,3252,adm,152,2609.13
2023,1,3252,deslig,147,2585.73
2023,1,3253,adm,8,2591.39
2023,1,3253,deslig,5,3331.19
2023,1,3311,adm,3464,1837.91
2023,1,3311,deslig,2243,2089.4
2023,1,3312,adm,273,7044.17
2023,1,3312,deslig,140,3227.98
2023,1,3313,adm,15,3481.08
2023,1,3313,deslig,26,3083.59
2023,1,3321,adm,70,2569.24
2023,1,3321,deslig,45,2158.09
2023,1,3322,adm,22,2954.19
2023,1,3322,deslig,16,3060.8
2023,1,3331,adm,610,5281.82
2023,1,3331,deslig,741,3973.64
2023,1,3341,adm,982,3222.65
2023,1,3341,deslig,932,2310.8
2023,1,3411,adm,10,5735.26
2023,1,3411,deslig,17,4108.26
2023,1,3412,adm,6,2519.52
2023,1,3412,deslig,17,3579.98
2023,1,3413,adm,13,2471.26
2023,1,3413,deslig,21,2796.99
2023,1,3421,adm,1154,2906.55
2023,1,3421,deslig,1114,3422.86
2023,1,3422,adm,47,3040.71
2023,1,3422,deslig,36,3069.3
2023,1,3423,adm,270,2772.29
2023,1,3423,deslig,276,3184.12
2023,1,3424,adm,23,2157.86
2023,1,3424,deslig,31,2785.55
2023,1,3425,adm,167,2126.8
2023,1,3425,deslig,151,2541.69
2023,1,3426,adm,13,5648.59
2023,1,3426,deslig,14,6653.54
2023,1,3511,adm,88,4958.55
2023,1,3511,deslig,98,5649.26
2023,1,3513,adm,183,3258.78
2023,1,3513,deslig,234,4123.8
2023,1,3514,adm,502,2657.35
2023,1,3514,deslig,432,2899.67
2023,1,3515,adm,113,2276.66
2023,1,3515,deslig,133,2532.46
2023,1,3516,adm,1375,6752.53
2023,1,3516,deslig,1102,5924.36
2023,1,3517,adm,576,3025.39
2023,1,3517,deslig,596,3147.66
2023,1,3519,adm,4,2473.35
2023,1,3519,deslig,2,2644.68
2023,1,3522,adm,195,3490.55
2023,1,3522,deslig,131,3517.15
2023,1,3523,adm,91,3328.66
2023,1,3523,deslig,51,4335.59
2023,1,3524,adm,5,4810.54
2023,1,3524,deslig,8,3594.38
2023,1,3532,adm,55,5338.99
2023,1,3532,deslig,73,6385.01
2023,1,3541,adm,8961,3199.44
2023,1,3541,deslig,7577,2617.98
2023,1,3542,adm,826,4624.5
2023,1,3542,deslig,729,5050.08
2023,1,3543,adm,260,7214.88
2023,1,3543,deslig,189,5259.45
2023,1,3544,adm,26,2069.7
2023,1,3544,deslig,28,2526.6
2023,1,3545,adm,32,1565.76
2023,1,3545,deslig,40,2078.25
2023,1,3546,adm,56,1597.66
2023,1,3546,deslig,68,1858.4
2023,1,3547,adm,35,3868.26
2023,1,3547,deslig,42,3824.86
2023,1,3548,adm,473,2849.26
2023,1,3548,deslig,365,3002.47
2023,1,3711,adm,40,2082.94
2023,1,3711,deslig,38,2265.98
2023,1,3712,adm,1,4028.39
2023,1,3712,deslig,2,3431.54
2023,1,3713,adm,10,2594.88
2023,1,3713,deslig,14,3190.86
2023,1,3714,adm,717,1669.16
2023,1,3714,deslig,614,1657.46
2023,1,3721,adm,40,2329.21
2023,1,3721,deslig,42,2946.41
2023,1,3722,adm,33,1893.41
2023,1,3722,deslig,40,2337.7
2023,1,3731,adm,87,2808.59
2023,1,3731,deslig,85,3107.79
2023,1,3732,adm,37,4845.81
2023,1,3732,deslig,29,7329.66
2023,1,3741,adm,115,1930.77
2023,1,3741,deslig,107,2185.61
2023,1,3742,adm,8,1875.38
2023,1,3742,deslig,1,2100.0
2023,1,3743,adm,3,1644.85
2023,1,3743,deslig,9,2532.73
2023,1,3744,adm,154,2917.35
2023,1,3744,deslig,117,2821.56
2023,1,3751,adm,84,2848.99
2023,1,3751,deslig,251,1952.91
2023,1,3761,deslig,1,0.0
2023,1,3762,adm,1,1802.0
2023,1,3762,deslig,2,3901.0
2023,1,3763,adm,4,2200.0
2023,1,3763,deslig,11,8345.11
2023,1,3764,adm,2,1839.77
2023,1,3771,adm,403,21268.86
2023,1,3771,deslig,131,30769.29
2023,1,3772,adm,3,6548.14
2023,1,3772,deslig,3,1668.73
2023,1,3911,adm,2663,4095.56
2023,1,3911,deslig,2429,3962.59
2023,1,3912,adm,2188,4450.11
2023,1,3912,deslig,1849,3980.94
2023,1,3951,adm,149,5193.45
2023,1,3951,deslig,127,7811.09
2023,1,4101,adm,2074,4892.28
2023,1,4101,deslig,2185,4635.35
2023,1,4102,adm,624,4410.05
2023,1,4102,deslig,628,5788.0
2023,1,4110,adm,30043,2114.41
2023,1,4110,deslig,26904,2350.94
2023,1,4121,adm,63,1823.39
2023,1,4121,deslig,85,2306.49
2023,1,4122,adm,774,8522.33
2023,1,4122,deslig,727,4667.85
2023,1,4131,adm,3119,2391.47
2023,1,4131,deslig,2441,2667.18
2023,1,4132,adm,565,2139.01
2023,1,4132,deslig,470,3156.45
2023,1,4141,adm,13789,1803.8
2023,1,4141,deslig,15489,1914.62
2023,1,4142,adm,1522,2836.55
2023,1,4142,deslig,1759,2213.91
2023,1,4151,adm,144,2618.29
2023,1,4151,deslig,301,1855.35
2023,1,4152,adm,78,1533.05
2023,1,4152,deslig,134,1813.11
2023,1,4201,adm,561,3176.7
2023,1,4201,deslig,770,3532.88
2023,1,4211,adm,8399,1957.13
2023,1,4211,deslig,11676,1910.02
2023,1,4212,adm,202,1433.5
2023,1,4212,deslig,212,1453.99
2023,1,4213,adm,2945,1350.01
2023,1,4213,deslig,2015,1480.51
2023,1,4221,adm,9586,1666.88
2023,1,4221,deslig,9201,1723.11
2023,1,4222,adm,281,1596.89
2023,1,4222,deslig,387,1921.08
2023,1,4223,adm,12942,1369.54
2023,1,4223,deslig,15462,1426.27
2023,1,4231,adm,14,2500.53
2023,1,4231,deslig,17,2136.93
2023,1,4241,adm,134,2138.51
2023,1,4241,deslig,197,2198.49
2023,1,4242,adm,1,2500.0
2023,1,4242,deslig,1,3815.92
2023,1,5101,adm,272,6382.74
2023,1,5101,deslig,290,2844.65
2023,1,5102,adm,11,2043.4
2023,1,5102,deslig,17,2511.32
2023,1,5103,adm,109,2975.26
2023,1,5103,deslig,122,3433.3
2023,1,5111,adm,56,2225.46
2023,1,5111,deslig,35,2745.66
2023,1,5112,adm,364,1696.91
2023,1,5112,deslig,542,1902.9
2023,1,5114,adm,15,2118.26
2023,1,5114,deslig,7,1742.3
2023,1,5115,adm,4,1529.5
2023,1,5121,adm,223,1572.08
2023,1,5121,deslig,210,1624.54
2023,1,5131,adm,54,2028.98
2023,1,5131,deslig,64,2441.62
2023,1,5132,adm,5610,2759.8
2023,1,5132,deslig,5592,1831.86
2023,1,5133,adm,1038,1646.34
2023,1,5133,deslig,1105,1672.77
2023,1,5134,adm,14021,1625.26
2023,1,5134,deslig,15681,1664.39
2023,1,5135,adm,8903,1689.72
2023,1,5135,deslig,8954,1730.31
2023,1,5136,adm,819,1844.85
2023,1,5136,deslig,759,1874.22
2023,1,5141,adm,1647,1885.53
2023,1,5141,deslig,1640,1936.12
2023,1,5142,adm,4039,1559.26
2023,1,5142,deslig,3431,1673.22
2023,1,5143,adm,31947,1613.56
2023,1,5143,deslig,30629,1579.87
2023,1,5151,adm,360,1780.94
2023,1,5151,deslig,435,1912.89
2023,1,5152,adm,924,2270.11
2023,1,5152,deslig,877,1887.1
2023,1,5153,adm,730,2109.87
2023,1,5153,deslig,517,2360.94
2023,1,5161,adm,144,2419.57
2023,1,5161,deslig,254,1555.2
2023,1,5162,adm,1696,1582.59
2023,1,5162,deslig,1264,2847.55
2023,1,5163,adm,767,1600.41
2023,1,5163,deslig,823,1951.61
2023,1,5164,adm,37,1769.33
2023,1,5164,deslig,53,1686.68
2023,1,5165,adm,89,2020.69
2023,1,5165,deslig,81,1959.96
2023,1,5166,adm,34,1802.59
2023,1,5166,deslig,29,1801.75
2023,1,5171,adm,312,3177.77
2023,1,5171,deslig,290,2354.44
2023,1,5172,adm,48,1874.88
2023,1,5172,deslig,59,2145.47
2023,1,5173,adm,3751,2350.65
2023,1,5173,deslig,3793,2367.28
2023,1,5174,adm,10883,1770.79
2023,1,5174,deslig,10753,1740.05
2023,1,5191,adm,1588,1511.53
2023,1,5191,deslig,1660,1530.61
2023,1,5192,adm,383,1655.67
2023,1,5192,deslig,381,1711.58
2023,1,5193,adm,504,1683.31
2023,1,5193,deslig,583,2151.58
2023,1,5199,adm,1640,1735.78
2023,1,5199,deslig,1631,1876.56
2023,1,5201,adm,1129,4751.73
2023,1,5201,deslig,1227,4417.89
2023,1,5211,adm,48366,1731.46
2023,1,5211,deslig,57287,1730.65
2023,1,5231,adm,221,1881.66
2023,1,5231,deslig,271,1972.49
2023,1,5241,adm,1059,1624.97
2023,1,5241,deslig,881,1648.23
2023,1,5242,adm,48,1537.46
2023,1,5242,deslig,93,1612.15
2023,1,5243,adm,29,1675.48
2023,1,5243,deslig,27,1846.83
2023,1,6110,adm,23,1617.78
2023,1,6110,deslig,15,1482.64
2023,1,6120,adm,7,1890.45
2023,1,6120,deslig,13,1401.23
2023,1,6121,adm,2,1442.0
2023,1,6121,deslig,4,1696.75
2023,1,6123,adm,5,1474.21
2023,1,6123,deslig,3,1376.28
2023,1,6124,adm,11,1528.0
2023,1,6124,deslig,10,1589.38
2023,1,6125,adm,16,1709.55
2023,1,6125,deslig,11,1583.59
2023,1,6126,deslig,1,1703.9
2023,1,6130,adm,13,1538.76
2023,1,6130,deslig,5,1384.6
2023,1,6131,adm,5,1633.6
2023,1,6131,deslig,2,1679.5
2023,1,6133,adm,6,1717.33
2023,1,6133,deslig,5,1458.11
2023,1,6201,adm,219,2913.35
2023,1,6201,deslig,193,5017.41
2023,1,6210,adm,4440,1580.25
2023,1,6210,deslig,3041,1780.32
2023,1,6220,adm,3020,3084.9
2023,1,6220,deslig,2983,4649.97
2023,1,6221,adm,4009,3205.72
2023,1,6221,deslig,801,12813.3
2023,1,6222,adm,1,2000.0
2023,1,6223,adm,315,1432.7
2023,1,6223,deslig,128,1452.83
2023,1,6224,adm,362,1692.86
2023,1,6224,deslig,322,1741.8
2023,1,6225,adm,2001,11213.94
2023,1,6225,deslig,5331,4157.61
2023,1,6226,adm,86,1450.05
2023,1,6226,deslig,83,1344.48
2023,1,6227,adm,28,1872.94
2023,1,6227,deslig,2,1757.5
2023,1,6228,adm,8,1678.38
2023,1,6228,deslig,7,1662.51
2023,1,6230,adm,223,1710.9
2023,1,6230,deslig,257,1671.74
2023,1,6231,adm,284,1721.56
2023,1,6231,deslig,377,2606.42
2023,1,6232,adm,51,1562.9
2023,1,6232,deslig,45,1592.39
2023,1,6233,adm,695,1503.91
2023,1,6233,deslig,639,1554.46
2023,1,6234,adm,51,1501.55
2023,1,6234,deslig,34,1608.5
2023,1,6301,adm,36,3764.79
2023,1,6301,deslig,36,3430.59
2023,1,6312,adm,25,1927.01
2023,1,6312,deslig,60,1939.59
2023,1,6313,adm,36,1597.78
2023,1,6313,deslig,28,1594.07
2023,1,6320,adm,77,1491.2
2023,1,6320,deslig,16,1513.0
2023,1,6321,adm,413,1532.25
2023,1,6321,deslig,468,1529.43
2023,1,6322,adm,285,694.57
2023,1,6322,deslig,376,622.22
2023,1,6323,adm,1,4400.0
2023,1,6323,deslig,4,3329.95
2023,1,6324,adm,1,1381.6
2023,1,6324,deslig,2,1449.1
2023,1,6325,adm,11,0.0
2023,1,6325,deslig,6,436.58
2023,1,6326,adm,44,29247.3
2023,1,6326,deslig,34,13627.11
2023,1,6410,adm,1615,5387.95
2023,1,6410,deslig,1516,8268.07
2023,1,6420,adm,179,2039.32
2023,1,6420,deslig,105,2118.51
2023,1,6430,adm,21,1976.03
2023,1,6430,deslig,19,2188.93
2023,1,7101,adm,10,5384.37
2023,1,7101,deslig,6,5260.11
2023,1,7102,adm,1277,4670.68
2023,1,7102,deslig,1047,3982.67
2023,1,7111,adm,37,2229.85
2023,1,7111,deslig,36,2054.09
2023,1,7112,adm,248,2420.99
2023,1,7112,deslig,191,4401.11
2023,1,7113,adm,108,2020.95
2023,1,7113,deslig,97,2122.94
2023,1,7121,adm,31,1904.81
2023,1,7121,deslig,23,2111.37
2023,1,7122,adm,154,2215.84
2023,1,7122,deslig,158,2194.77
2023,1,7151,adm,1271,2705.14
2023,1,7151,deslig,1149,3847.87
2023,1,7152,adm,7003,3088.45
2023,1,7152,deslig,5228,2566.08
2023,1,7153,adm,2063,2759.92
2023,1,7153,deslig,1391,2271.49
2023,1,7154,adm,216,2255.18
2023,1,7154,deslig,218,2173.3
2023,1,7155,adm,4295,6149.74
2023,1,7155,deslig,2837,4230.93
2023,1,7156,adm,2219,3560.01
2023,1,7156,deslig,1962,2878.58
2023,1,7157,adm,321,46185.53
2023,1,7157,deslig,283,2155.15
