ano,mes,secao,tipico,mov,n
2023,3,L,False,deslig,79
2023,3,L,True,adm,2314
2023,3,L,True,deslig,2160
2023,3,M,False,adm,2491
2023,3,M,False,deslig,1497
2023,3,M,True,adm,22546
2023,3,M,True,deslig,21868
2023,3,N,False,adm,59325
2023,3,N,False,deslig,54446
2023,3,N,True,adm,97140
2023,3,N,True,deslig,93855
2023,3,O,False,adm,3446
2023,3,O,False,deslig,1029
2023,3,O,True,adm,2490
2023,3,O,True,deslig,1212
2023,3,P,False,adm,5497
2023,3,P,False,deslig,3465
2023,3,P,True,adm,15265
2023,3,P,True,deslig,12472
2023,3,Q,False,adm,5986
2023,3,Q,False,deslig,5308
2023,3,Q,True,adm,26402
2023,3,Q,True,deslig,22467
2023,3,R,False,adm,995
2023,3,R,False,deslig,956
2023,3,R,True,adm,3116
2023,3,R,True,deslig,2855
2023,3,S,False,adm,3625
2023,3,S,False,deslig,2489
2023,3,S,True,adm,11289
2023,3,S,True,deslig,9401
2023,3,T,False,deslig,1
2023,3,T,True,adm,16
2023,3,T,True,deslig,10
2023,3,U,False,adm,1
2023,3,U,True,adm,10
2023,3,U,True,deslig,10
2023,4,A,False,adm,1685
2023,4,A,False,deslig,899
2023,4,A,True,adm,19416
2023,4,A,True,deslig,16351
2023,4,B,False,adm,23
2023,4,B,False,deslig,6
2023,4,B,True,adm,339
2023,4,B,True,deslig,268
2023,4,C,False,adm,4550
2023,4,C,False,deslig,3099
2023,4,C,True,adm,70376
2023,4,C,True,deslig,62763
2023,4,D,False,adm,15
2023,4,D,False,deslig,14
2023,4,D,True,adm,419
2023,4,D,True,deslig,267
2023,4,E,False,adm,59
2023,4,E,False,deslig,60
2023,4,E,True,adm,2531
2023,4,E,True,deslig,2495
2023,4,F,False,adm,2398
2023,4,F,False,deslig,2010
2023,4,F,True,adm,46389
2023,4,F,True,deslig,40091
2023,4,G,False,adm,6029
2023,4,G,False,deslig,4781
2023,4,G,True,adm,112469
2023,4,G,True,deslig,106294
2023,4,H,False,adm,2064
2023,4,H,False,deslig,1785
2023,4,H,True,adm,33169
2023,4,H,True,deslig,25786
2023,4,I,False,adm,2107
2023,4,I,False,deslig,1764
2023,4,I,True,adm,34037
2023,4,I,True,deslig,31116
2023,4,J,False,adm,786
2023,4,J,False,deslig,706
2023,4,J,True,adm,11641
2023,4,J,True,deslig,11470
2023,4,K,False,adm,677
2023,4,K,False,deslig,536
2023,4,K,True,adm,7756
2023,4,K,True,deslig,8332
2023,4,L,False,adm,62
2023,4,L,False,deslig,47
2023,4,L,True,adm,1998
2023,4,L,True,deslig,1807
2023,4,M,False,adm,1291
2023,4,M,False,deslig,1347
2023,4,M,True,adm,18744
2023,4,M,True,deslig,18654
2023,4,N,False,adm,46373
2023,4,N,False,deslig,48745
2023,4,N,True,adm,86436
2023,4,N,True,deslig,80350
2023,4,O,False,adm,2394
2023,4,O,False,deslig,1009
2023,4,O,True,adm,1897
2023,4,O,True,deslig,910
2023,4,P,False,adm,3570
2023,4,P,False,deslig,2589
2023,4,P,True,adm,11923
2023,4,P,True,deslig,10234
2023,4,Q,False,adm,6041
2023,4,Q,False,deslig,4881
2023,4,Q,True,adm,24227
2023,4,Q,True,deslig,19352
2023,4,R,False,adm,790
2023,4,R,False,deslig,651
2023,4,R,True,adm,3004
2023,4,R,True,deslig,2418
2023,4,S,False,adm,2475
2023,4,S,False,deslig,2342
2023,4,S,True,adm,9259
2023,4,S,True,deslig,8146
2023,4,T,False,deslig,1
2023,4,T,True,adm,6
2023,4,T,True,deslig,16
2023,4,U,True,adm,12
2023,4,U,True,deslig,8
2023,5,A,False,adm,1097
2023,5,A,False,deslig,1558
2023,5,A,True,adm,27808
2023,5,A,True,deslig,16186
2023,5,B,False,adm,18
2023,5,B,False,deslig,9
2023,5,B,True,adm,405
2023,5,B,True,deslig,338
2023,5,C,False,adm,4316
2023,5,C,False,deslig,2917
2023,5,C,True,adm,71248
2023,5,C,True,deslig,68105
2023,5,D,False,adm,5
2023,5,D,False,deslig,17
2023,5,D,True,adm,444
2023,5,D,True,deslig,271
2023,5,E,False,adm,63
2023,5,E,False,deslig,521
2023,5,E,True,adm,2664
2023,5,E,True,deslig,2610
2023,5,F,False,adm,2233
2023,5,F,False,deslig,2047
2023,5,F,True,adm,52481
2023,5,F,True,deslig,48206
2023,5,G,False,adm,5691
2023,5,G,False,deslig,4769
2023,5,G,True,adm,118916
2023,5,G,True,deslig,114825
2023,5,H,False,adm,1989
2023,5,H,False,deslig,2033
2023,5,H,True,adm,32451
2023,5,H,True,deslig,29476
2023,5,I,False,adm,2174
2023,5,I,False,deslig,1780
2023,5,I,True,adm,34494
2023,5,I,True,deslig,33099
2023,5,J,False,adm,1075
2023,5,J,False,deslig,735
2023,5,J,True,adm,11779
2023,5,J,True,deslig,11892
2023,5,K,False,adm,714
2023,5,K,False,deslig,646
2023,5,K,True,adm,7935
2023,5,K,True,deslig,8074
2023,5,L,False,adm,69
2023,5,L,False,deslig,55
2023,5,L,True,adm,2017
2023,5,L,True,deslig,2061
2023,5,M,False,adm,1474
2023,5,M,False,deslig,1222
2023,5,M,True,adm,20133
2023,5,M,True,deslig,19914
2023,5,N,False,adm,52009
2023,5,N,False,deslig,48631
2023,5,N,True,adm,95285
2023,5,N,True,deslig,88614
2023,5,O,False,adm,1644
2023,5,O,False,deslig,924
2023,5,O,True,adm,1909
2023,5,O,True,deslig,1235
2023,5,P,False,adm,3235
2023,5,P,False,deslig,2749
2023,5,P,True,adm,13107
2023,5,P,True,deslig,10532
2023,5,Q,False,adm,5556
2023,5,Q,False,deslig,4851
2023,5,Q,True,adm,24467
2023,5,Q,True,deslig,22295
2023,5,R,False,adm,833
2023,5,R,False,deslig,666
2023,5,R,True,adm,2913
2023,5,R,True,deslig,2466
2023,5,S,False,adm,2798
2023,5,S,False,deslig,2348
2023,5,S,True,adm,9767
2023,5,S,True,deslig,8437
2023,5,T,False,deslig,1
2023,5,T,True,adm,21
2023,5,T,True,deslig,12
2023,5,U,False,deslig,2
2023,5,U,True,adm,11
2023,5,U,True,deslig,7
2023,6,A,False,adm,1306
2023,6,A,False,deslig,2317
2023,6,A,True,adm,26517
2023,6,A,True,deslig,14546
2023,6,B,False,adm,14
2023,6,B,False,deslig,15
2023,6,B,True,adm,410
2023,6,B,True,deslig,314
2023,6,C,False,adm,3906
2023,6,C,False,deslig,5455
2023,6,C,True,adm,67120
2023,6,C,True,deslig,66523
2023,6,D,False,adm,19
2023,6,D,False,deslig,57
2023,6,D,True,adm,457
2023,6,D,True,deslig,298
2023,6,E,False,adm,93
2023,6,E,False,deslig,61
2023,6,E,True,adm,2495
2023,6,E,True,deslig,2791
2023,6,F,False,adm,1818
2023,6,F,False,deslig,2457
2023,6,F,True,adm,47916
2023,6,F,True,deslig,45407
2023,6,G,False,adm,4942
2023,6,G,False,deslig,4254
2023,6,G,True,adm,117419
2023,6,G,True,deslig,113293
2023,6,H,False,adm,1840
2023,6,H,False,deslig,1797
2023,6,H,True,adm,29752
2023,6,H,True,deslig,26549
2023,6,I,False,adm,2067
2023,6,I,False,deslig,1660
2023,6,I,True,adm,34192
2023,6,I,True,deslig,30307
2023,6,J,False,adm,902
2023,6,J,False,deslig,888
2023,6,J,True,adm,11327
2023,6,J,True,deslig,12466
2023,6,K,False,adm,617
2023,6,K,False,deslig,555
2023,6,K,True,adm,7896
2023,6,K,True,deslig,7948
2023,6,L,False,adm,83
2023,6,L,False,deslig,53
2023,6,L,True,adm,1969
2023,6,L,True,deslig,1964
2023,6,M,False,adm,1316
2023,6,M,False,deslig,1309
2023,6,M,True,adm,19370
2023,6,M,True,deslig,18442
2023,6,N,False,adm,53420
2023,6,N,False,deslig,44976
2023,6,N,True,adm,88489
2023,6,N,True,deslig,84424
2023,6,O,False,adm,1003
2023,6,O,False,deslig,729
2023,6,O,True,adm,1588
2023,6,O,True,deslig,995
2023,6,P,False,adm,2227
2023,6,P,False,deslig,6051
2023,6,P,True,adm,10737
2023,6,P,True,deslig,11197
2023,6,Q,False,adm,5147
2023,6,Q,False,deslig,4977
2023,6,Q,True,adm,23425
2023,6,Q,True,deslig,21427
2023,6,R,False,adm,735
2023,6,R,False,deslig,669
2023,6,R,True,adm,2756
2023,6,R,True,deslig,2290
2023,6,S,False,adm,2428
2023,6,S,False,deslig,2304
2023,6,S,True,adm,9167
2023,6,S,True,deslig,8706
2023,6,T,True,adm,10
2023,6,T,True,deslig,10
2023,6,U,False,adm,1
2023,6,U,False,deslig,1
2023,6,U,True,adm,10
2023,6,U,True,deslig,6
2023,7,A,False,adm,1876
2023,7,A,False,deslig,736
2023,7,A,True,adm,18847
2023,7,A,True,deslig,14899
2023,7,B,False,adm,10
2023,7,B,False,deslig,11
2023,7,B,True,adm,402
2023,7,B,True,deslig,307
2023,7,C,False,adm,5756
2023,7,C,False,deslig,3256
2023,7,C,True,adm,67599
2023,7,C,True,deslig,62517
2023,7,D,False,adm,36
2023,7,D,False,deslig,49
2023,7,D,True,adm,353
2023,7,D,True,deslig,308
2023,7,E,False,adm,81
2023,7,E,False,deslig,73
2023,7,E,True,adm,2601
2023,7,E,True,deslig,2507
2023,7,F,False,adm,2442
2023,7,F,False,deslig,1946
2023,7,F,True,adm,51002
2023,7,F,True,deslig,45067
2023,7,G,False,adm,4751
2023,7,G,False,deslig,4218
2023,7,G,True,adm,117119
2023,7,G,True,deslig,105735
2023,7,H,False,adm,1834
2023,7,H,False,deslig,1461
2023,7,H,True,adm,29168
2023,7,H,True,deslig,26438
2023,7,I,False,adm,1959
