ano,mes,cbo6,secao,mov,n,sal_medio
2023,1,212405,R,deslig,2,8700.0
2023,1,212405,S,adm,25,4081.51
2023,1,212405,S,deslig,25,10616.75
2023,1,212410,A,adm,2,9298.5
2023,1,212410,C,adm,19,6112.7
2023,1,212410,C,deslig,20,7151.52
2023,1,212410,D,adm,2,7750.0
2023,1,212410,E,adm,1,3000.0
2023,1,212410,F,adm,26,3409.65
2023,1,212410,F,deslig,8,3746.22
2023,1,212410,G,adm,81,5588.09
2023,1,212410,G,deslig,42,5238.6
2023,1,212410,H,adm,15,6154.59
2023,1,212410,H,deslig,6,3639.84
2023,1,212410,I,adm,4,3067.22
2023,1,212410,I,deslig,4,2378.88
2023,1,212410,J,adm,257,5117.39
2023,1,212410,J,deslig,281,5987.85
2023,1,212410,K,adm,41,6562.93
2023,1,212410,K,deslig,28,7355.23
2023,1,212410,L,adm,2,4721.5
2023,1,212410,L,deslig,3,7983.55
2023,1,212410,M,adm,68,4439.9
2023,1,212410,M,deslig,60,5453.22
2023,1,212410,N,adm,71,3743.07
2023,1,212410,N,deslig,56,3926.84
2023,1,212410,O,adm,1,3434.44
2023,1,212410,P,adm,14,4086.59
2023,1,212410,P,deslig,6,3304.13
2023,1,212410,Q,adm,8,3888.35
2023,1,212410,Q,deslig,5,5431.44
2023,1,212410,R,adm,1,8300.0
2023,1,212410,R,deslig,1,3766.88
2023,1,212410,S,adm,19,4092.05
2023,1,212410,S,deslig,6,4417.81
2023,1,212425,C,adm,1,11971.0
2023,1,212425,G,adm,3,12666.67
2023,1,212425,G,deslig,2,12304.55
2023,1,212425,J,adm,38,11895.95
2023,1,212425,J,deslig,20,13837.22
2023,1,212425,K,adm,12,14189.5
2023,1,212425,K,deslig,3,11844.49
2023,1,212425,M,adm,10,13500.0
2023,1,212425,M,deslig,9,14725.26
2023,1,212425,N,deslig,3,15062.37
2023,1,212425,S,adm,2,2200.0
2023,2,203105,C,adm,5,6342.3
2023,2,203105,C,deslig,2,7143.98
2023,2,203105,D,adm,1,15000.0
2023,2,203105,F,deslig,1,8796.9
2023,2,203105,G,adm,1,21000.0
2023,2,203105,G,deslig,3,7432.87
2023,2,203105,J,adm,8,9202.66
2023,2,203105,J,deslig,6,13135.82
2023,2,203105,K,adm,2,8319.0
2023,2,203105,K,deslig,6,14443.92
2023,2,203105,M,adm,16,10430.11
2023,2,203105,M,deslig,10,10782.24
2023,2,203105,N,adm,1,4200.0
2023,2,203105,N,deslig,3,8218.61
2023,2,203105,Q,deslig,2,5637.14
2023,2,203105,S,adm,1,4500.0
2023,2,211205,C,adm,1,1800.0
2023,2,211205,C,deslig,1,7000.0
2023,2,211205,H,adm,1,5300.0
2023,2,211205,J,adm,10,9010.0
2023,2,211205,J,deslig,10,12717.63
2023,2,211205,K,adm,10,9238.42
2023,2,211205,K,deslig,5,12111.76
2023,2,211205,M,adm,6,4656.77
2023,2,211205,M,deslig,5,9334.55
2023,2,211205,N,adm,1,4000.0
2023,2,211205,N,deslig,4,7018.16
2023,2,211205,P,deslig,1,6720.11
2023,2,211205,Q,adm,3,7041.14
2023,2,211205,R,adm,2,2883.5
2023,2,211205,S,adm,1,12119.0
2023,2,211210,A,adm,1,2183.0
2023,2,211210,C,deslig,1,3547.67
2023,2,211210,G,adm,1,6877.0
2023,2,211210,G,deslig,1,4000.0
2023,2,211210,J,adm,2,11280.0
2023,2,211210,J,deslig,4,9611.83
2023,2,211210,L,adm,2,6240.0
2023,2,211210,Q,adm,1,5552.19
2023,2,211215,G,deslig,1,4000.0
2023,2,212205,C,adm,3,13438.54
2023,2,212205,C,deslig,5,11446.36
2023,2,212205,F,deslig,1,9000.0
2023,2,212205,G,adm,8,15484.71
2023,2,212205,G,deslig,6,10723.23
2023,2,212205,H,deslig,2,3657.72
2023,2,212205,I,adm,2,17331.5
2023,2,212205,J,adm,59,13153.29
2023,2,212205,J,deslig,93,12682.91
2023,2,212205,K,adm,7,16135.0
2023,2,212205,K,deslig,11,12645.32
2023,2,212205,L,deslig,1,13000.0
2023,2,212205,M,adm,27,18003.09
2023,2,212205,M,deslig,16,14162.53
2023,2,212205,N,adm,8,14584.68
2023,2,212205,N,deslig,11,15097.65
2023,2,212205,S,adm,1,6500.0
2023,2,212210,G,deslig,6,18351.64
2023,2,212210,J,adm,3,6734.0
2023,2,212210,J,deslig,17,10679.2
2023,2,212210,M,adm,12,19051.67
2023,2,212210,M,deslig,1,13500.0
2023,2,212210,S,adm,1,24373.48
2023,2,212215,C,deslig,4,12928.88
2023,2,212215,G,adm,1,19000.0
2023,2,212215,G,deslig,8,14079.42
2023,2,212215,H,deslig,1,21900.0
2023,2,212215,J,adm,73,12076.2
2023,2,212215,J,deslig,65,12097.58
2023,2,212215,K,adm,13,17640.84
2023,2,212215,K,deslig,17,12855.11
2023,2,212215,L,deslig,1,11698.02
2023,2,212215,M,adm,19,16705.32
2023,2,212215,M,deslig,20,16229.63
2023,2,212215,N,adm,16,19082.82
2023,2,212215,N,deslig,13,27715.75
2023,2,212215,P,adm,1,10156.0
2023,2,212215,Q,adm,1,7925.0
2023,2,212215,Q,deslig,1,12474.4
2023,2,212215,R,adm,2,8109.0
2023,2,212215,S,adm,1,26923.07
2023,2,212305,C,adm,4,7375.0
2023,2,212305,C,deslig,1,11820.7
2023,2,212305,F,deslig,1,2353.41
2023,2,212305,G,adm,5,11000.0
2023,2,212305,G,deslig,5,7380.03
2023,2,212305,H,deslig,1,5003.42
2023,2,212305,J,adm,25,6880.71
2023,2,212305,J,deslig,53,8876.21
2023,2,212305,K,adm,5,13787.74
2023,2,212305,K,deslig,8,6479.74
2023,2,212305,L,adm,3,15456.67
2023,2,212305,M,adm,10,8046.38
2023,2,212305,M,deslig,25,10390.55
2023,2,212305,N,adm,17,12713.61
2023,2,212305,N,deslig,16,5566.54
2023,2,212305,P,adm,1,6000.0
2023,2,212305,Q,adm,3,8792.94
2023,2,212305,S,deslig,1,4686.98
2023,2,212405,C,adm,122,7984.94
2023,2,212405,C,deslig,70,8613.64
2023,2,212405,D,adm,7,7191.95
2023,2,212405,D,deslig,3,13428.19
2023,2,212405,E,adm,1,9000.0
2023,2,212405,E,deslig,1,19268.44
2023,2,212405,F,adm,15,3883.27
2023,2,212405,F,deslig,15,5318.12
2023,2,212405,G,adm,124,6272.4
2023,2,212405,G,deslig,126,7223.97
2023,2,212405,H,adm,18,8502.78
2023,2,212405,H,deslig,18,7596.76
2023,2,212405,I,adm,2,8400.0
2023,2,212405,I,deslig,2,8197.0
2023,2,212405,J,adm,1276,8433.54
2023,2,212405,J,deslig,1889,8497.82
2023,2,212405,K,adm,368,8576.82
2023,2,212405,K,deslig,502,9666.87
2023,2,212405,L,adm,9,9894.44
2023,2,212405,L,deslig,5,12582.1
2023,2,212405,M,adm,262,8889.74
2023,2,212405,M,deslig,254,8772.07
2023,2,212405,N,adm,157,7301.88
2023,2,212405,N,deslig,197,8258.5
2023,2,212405,O,adm,4,5962.32
2023,2,212405,O,deslig,1,7835.47
2023,2,212405,P,adm,28,7549.01
2023,2,212405,P,deslig,23,7231.11
2023,2,212405,Q,adm,34,7717.57
2023,2,212405,Q,deslig,24,8339.49
2023,2,212405,S,adm,20,5242.88
2023,2,212405,S,deslig,18,7881.06
2023,2,212410,A,adm,1,6204.0
2023,2,212410,A,deslig,1,2542.04
2023,2,212410,C,adm,18,4444.61
2023,2,212410,C,deslig,15,5564.39
2023,2,212410,D,adm,2,10492.5
2023,2,212410,D,deslig,1,8277.99
2023,2,212410,E,adm,1,1900.0
2023,2,212410,F,adm,6,4389.69
2023,2,212410,F,deslig,11,2903.95
2023,2,212410,G,adm,53,4960.79
2023,2,212410,G,deslig,36,4385.94
2023,2,212410,H,adm,7,7601.19
2023,2,212410,H,deslig,9,2599.18
2023,2,212410,I,adm,2,3800.0
2023,2,212410,J,adm,190,5669.59
2023,2,212410,J,deslig,173,6223.38
2023,2,212410,K,adm,24,9746.21
2023,2,212410,K,deslig,23,8882.54
2023,2,212410,L,adm,2,1619.97
2023,2,212410,L,deslig,2,4229.81
2023,2,212410,M,adm,56,4713.77
2023,2,212410,M,deslig,48,5986.22
2023,2,212410,N,adm,54,2927.57
2023,2,212410,N,deslig,63,4269.94
2023,2,212410,O,adm,1,3027.42
2023,2,212410,O,deslig,1,3027.42
2023,2,212410,P,adm,7,2609.25
2023,2,212410,P,deslig,9,3927.12
2023,2,212410,Q,adm,7,4492.75
2023,2,212410,Q,deslig,1,1844.0
2023,2,212410,S,adm,12,3591.17
2023,2,212410,S,deslig,7,3610.52
2023,2,212425,C,adm,4,16985.0
2023,2,212425,C,deslig,1,9500.0
2023,2,212425,G,adm,3,5701.0
2023,2,212425,G,deslig,1,3358.0
2023,2,212425,J,adm,27,15339.53
2023,2,212425,J,deslig,23,12696.39
2023,2,212425,K,adm,3,10745.0
2023,2,212425,K,deslig,3,12439.14
2023,2,212425,M,adm,9,11988.89
2023,2,212425,M,deslig,3,15744.01
2023,2,212425,N,adm,4,23057.69
2023,2,212425,N,deslig,1,12000.0
2023,2,212425,P,adm,2,22500.0
2023,2,212425,Q,adm,1,18000.0
2023,3,203105,C,adm,10,9470.44
2023,3,203105,C,deslig,3,8365.11
2023,3,203105,G,adm,2,13750.0
2023,3,203105,G,deslig,2,5954.24
2023,3,203105,H,adm,3,9333.33
2023,3,203105,H,deslig,1,9000.0
2023,3,203105,J,adm,6,10594.51
2023,3,203105,J,deslig,9,15217.49
2023,3,203105,K,adm,3,6222.71
2023,3,203105,K,deslig,3,19407.74
2023,3,203105,M,adm,13,10092.2
2023,3,203105,M,deslig,8,11283.84
2023,3,203105,N,adm,7,14929.49
2023,3,203105,N,deslig,4,7166.17
2023,3,211205,C,adm,1,3300.0
2023,3,211205,C,deslig,3,6779.27
2023,3,211205,G,adm,2,8250.0
2023,3,211205,G,deslig,1,8643.51
2023,3,211205,J,adm,6,8339.82
2023,3,211205,J,deslig,7,9180.52
2023,3,211205,K,adm,11,11470.82
2023,3,211205,K,deslig,7,13438.71
2023,3,211205,M,adm,3,6066.67
2023,3,211205,M,deslig,5,6814.15
2023,3,211205,N,adm,5,4300.0
2023,3,211205,P,adm,2,6631.76
2023,3,211205,P,deslig,5,3803.14
2023,3,211205,Q,adm,12,9464.52
2023,3,211205,R,adm,2,4400.0
2023,3,211205,R,deslig,1,2600.0
2023,3,211210,C,adm,1,4000.0
2023,3,211210,J,deslig,1,21760.0
2023,3,211210,K,deslig,1,4349.2
2023,3,211210,M,adm,3,10890.0
2023,3,211210,N,adm,2,9000.0
2023,3,211210,N,deslig,4,4285.55
2023,3,211210,Q,adm,1,16040.47
2023,3,211210,Q,deslig,1,9378.78
2023,3,211210,S,adm,1,2500.0
2023,3,212205,C,adm,3,10911.38
2023,3,212205,C,deslig,1,12303.21
2023,3,212205,G,adm,3,9320.0
2023,3,212205,G,deslig,10,13225.11
2023,3,212205,H,adm,1,24000.0
2023,3,212205,J,adm,60,14909.57
2023,3,212205,J,deslig,147,16529.29
2023,3,212205,K,adm,4,17000.0
2023,3,212205,K,deslig,8,11588.54
2023,3,212205,M,adm,28,12543.34
2023,3,212205,M,deslig,81,13245.36
2023,3,212205,N,adm,6,13624.47
2023,3,212205,N,deslig,17,17547.87
2023,3,212205,S,deslig,1,6450.0
2023,3,212210,C,adm,1,8171.15
2023,3,212210,G,adm,1,12000.0
2023,3,212210,J,adm,2,8800.0
2023,3,212210,J,deslig,2,5250.0
2023,3,212210,M,adm,7,17551.43
2023,3,212210,N,adm,3,10444.33
2023,3,212210,N,deslig,1,11143.0
2023,3,212215,C,adm,3,13522.33
2023,3,212215,G,adm,2,9750.0
2023,3,212215,G,deslig,2,13689.46
2023,3,212215,J,adm,85,13477.75
2023,3,212215,J,deslig,91,11543.84
2023,3,212215,K,adm,14,21447.11
2023,3,212215,K,deslig,38,16136.99
2023,3,212215,M,adm,15,27468.34
2023,3,212215,M,deslig,16,11304.79
2023,3,212215,N,adm,26,25532.17
2023,3,212215,N,deslig,13,25195.36
2023,3,212215,P,adm,1,15000.0
2023,3,212215,P,deslig,2,13500.0
2023,3,212215,R,deslig,2,8700.0
2023,3,212215,S,deslig,1,17500.0
2023,3,212305,C,adm,3,8664.67
2023,3,212305,C,deslig,3,14203.96
2023,3,212305,F,adm,1,2482.11
2023,3,212305,F,deslig,2,4811.45
2023,3,212305,G,adm,6,9118.85
2023,3,212305,G,deslig,3,7430.58
2023,3,212305,H,adm,2,10750.0
2023,3,212305,H,deslig,2,7000.0
2023,3,212305,J,adm,45,7925.32
2023,3,212305,J,deslig,43,9029.82
2023,3,212305,K,adm,9,9872.7
2023,3,212305,K,deslig,12,10762.13
2023,3,212305,L,deslig,1,13171.0
2023,3,212305,M,adm,17,10769.76
2023,3,212305,M,deslig,26,13782.47
2023,3,212305,N,adm,18,7045.02
2023,3,212305,N,deslig,20,3660.55
2023,3,212305,P,adm,2,3593.98
2023,3,212305,Q,deslig,2,10215.88
2023,3,212305,S,adm,2,8360.23
2023,3,212305,S,deslig,1,3904.96
2023,3,212405,A,adm,2,3222.96
2023,3,212405,B,adm,1,3000.0
2023,3,212405,C,adm,133,7259.14
2023,3,212405,C,deslig,117,8659.48
2023,3,212405,D,adm,5,9840.0
2023,3,212405,D,deslig,2,9750.0
2023,3,212405,E,deslig,1,19287.48
2023,3,212405,F,adm,16,6236.41
2023,3,212405,F,deslig,20,4711.3
2023,3,212405,G,adm,118,6749.81
2023,3,212405,G,deslig,149,6212.3
2023,3,212405,H,adm,42,6912.22
2023,3,212405,H,deslig,20,6259.93
2023,3,212405,I,adm,5,6646.5
2023,3,212405,I,deslig,3,3918.75
